percentage,size.mb,size.records,non.singletons,pct.non.singletons,exact.match,fuzzy.match
0.01,43.7,975482,16658,0.01707668619205685,0.07,0.23
0.02,80.6,1924315,44298,0.023020139634103563,0.04,0.25
0.03,116.4,2864191,75866,0.026487758672518697,0.11,0.27
0.04,151,3786577,111954,0.029566017012198617,0.13,0.28
0.05,185,4700339,150185,0.031951950699726124,0.12,0.34
0.06,218.7,5610773,190659,0.033980879283478406,0.14,0.36
0.07,251.9,6515544,233541,0.03584366861769332,0.13,0.38
0.08,284.6,7405612,276589,0.03734856754580175,0.16,0.36
0.09,316.9,8287176,321449,0.03878872609921643,0.15,0.36
0.1,349.2,9174987,368877,0.04020463462237058,0.14,0.35
0.11,380.9,10050765,413981,0.04118900402108695,0.12,0.38
0.12,412.6,10923196,465552,0.04262049312307497,0.14,0.35
0.13,444.4,11798092,513494,0.04352347820308572,0.17,0.38
0.14,475.8,12668504,564914,0.04459200549646588,0.17,0.4
0.15,507.4,13537514,615661,0.04547814318049828,0.14,0.39
